#Receptor_resid	Ligand_resid
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
601	32
601	50
601	91
601	92
601	93
601	94
601	96
601	530
601	531
601	532
601	533
601	552
601	554
601	555
601	557
601	559
601	600
601	601
