#Receptor_resid	Ligand_resid
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
304	49
304	50
304	52
304	53
304	73
304	74
304	112
304	130
304	131
304	152
304	191
304	206
304	208
304	230
304	247
304	248
304	268
304	269
304	304
