#Receptor_resid	Ligand_resid
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
238	99
238	100
238	102
238	103
238	104
238	105
238	106
238	107
238	110
238	111
238	112
238	129
238	130
238	167
238	168
238	170
238	216
238	234
238	235
238	236
238	237
238	238
