#Receptor_resid	Ligand_resid
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
693	34
693	166
693	169
693	686
693	688
693	689
693	690
693	691
693	692
693	693
