#Receptor_resid	Ligand_resid
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
696	97
696	98
696	99
696	100
696	103
696	106
696	125
696	126
696	196
696	596
696	597
696	598
696	599
696	600
696	602
696	625
696	626
696	680
696	681
696	682
696	683
696	694
696	695
696	696
