#Receptor_resid	Ligand_resid
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
596	30
596	33
596	50
596	52
596	54
596	55
596	57
596	59
596	62
596	99
596	101
596	102
596	103
596	532
596	591
596	592
596	593
596	594
596	596
