#Receptor_resid	Ligand_resid
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
130	18
130	20
130	38
130	39
130	41
130	42
130	43
130	44
130	46
130	69
130	70
130	71
130	75
130	79
130	94
130	95
130	96
130	123
130	128
130	130
