#Receptor_resid	Ligand_resid
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
434	352
434	356
434	373
434	379
434	393
434	394
434	397
434	401
434	416
434	417
434	419
434	420
434	422
434	423
434	424
434	426
434	427
434	430
434	434
