#Receptor_resid	Ligand_resid
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
500	415
500	417
500	418
500	426
500	429
500	450
500	451
500	487
500	494
500	497
500	498
500	500
