#Receptor_resid	Ligand_resid
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
1305	138
1305	157
1305	179
1305	180
1305	198
1305	199
1305	204
1305	210
1305	1301
1305	1304
1305	1305
