#Receptor_resid	Ligand_resid
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
67	13
67	18
67	37
67	38
67	39
67	40
67	57
67	60
67	61
67	63
67	64
67	67
