#Receptor_resid	Ligand_resid
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
94	25
94	31
94	32
94	34
94	90
94	91
94	92
94	93
94	94
