#Receptor_resid	Ligand_resid
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
351	113
351	143
351	144
351	145
351	146
351	147
351	148
351	166
351	167
351	169
351	171
351	173
351	279
351	280
351	283
351	284
351	286
351	287
351	288
351	289
351	290
351	295
351	328
351	345
351	349
351	351
