#Receptor_resid	Ligand_resid
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
41	24
41	25
41	33
41	34
41	36
41	37
41	38
41	39
41	40
41	41
