#Receptor_resid	Ligand_resid
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
632	549
632	560
632	561
632	562
632	563
632	564
632	565
632	571
632	580
632	596
632	599
632	600
632	603
632	604
632	607
632	608
632	613
632	632
