#Receptor_resid	Ligand_resid
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
342	70
342	71
342	72
342	73
342	75
342	76
342	77
342	78
342	84
342	87
342	92
342	279
342	282
342	283
342	286
342	289
342	292
342	293
342	341
342	342
