#Receptor_resid	Ligand_resid
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
674	266
674	267
674	268
674	269
674	270
674	272
674	273
674	274
674	275
674	276
674	356
674	357
674	360
674	580
674	581
674	582
674	583
674	584
674	625
674	627
674	629
674	670
674	674
