#Receptor_resid	Ligand_resid
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
601	32
601	50
601	91
601	92
601	94
601	530
601	531
601	532
601	533
601	535
601	550
601	555
601	556
601	557
601	559
601	599
601	600
601	601
