#Receptor_resid	Ligand_resid
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
73	29
73	33
73	34
73	35
73	36
73	39
73	62
73	64
73	66
73	68
73	73
