#Receptor_resid	Ligand_resid
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
319	49
319	50
319	52
319	53
319	55
319	91
319	92
319	93
319	94
319	245
319	246
319	266
319	268
319	314
319	315
319	316
319	317
319	319
