#Receptor_resid	Ligand_resid
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
317	31
317	32
317	34
317	53
317	54
317	96
317	97
317	98
317	100
317	244
317	248
317	268
317	270
317	271
317	272
317	274
317	317
