#Receptor_resid	Ligand_resid
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
209	184
209	187
209	188
209	191
209	202
209	203
209	205
209	206
209	207
209	208
209	209
