#Receptor_resid	Ligand_resid
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
139	101
139	110
139	111
139	114
139	120
139	122
139	123
139	124
139	125
139	131
139	135
139	138
139	139
