#Receptor_resid	Ligand_resid
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
125	77
125	89
125	92
125	93
125	99
125	100
125	102
125	103
125	104
125	105
125	119
125	123
125	125
