#Receptor_resid	Ligand_resid
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
221	33
221	64
221	96
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	129
221	130
221	131
221	152
221	154
221	155
221	163
221	167
221	170
221	171
221	189
221	218
221	219
221	220
221	221
