#Receptor_resid	Ligand_resid
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
204	22
204	23
204	24
204	25
204	40
204	81
204	129
204	131
204	155
204	171
204	172
204	173
204	174
204	175
204	176
204	177
204	192
204	193
204	194
204	195
204	196
204	204
