#Receptor_resid	Ligand_resid
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
387	236
387	237
387	238
387	239
387	240
387	241
387	281
387	283
387	284
387	285
387	286
387	325
387	332
387	334
387	335
387	336
387	338
387	339
387	340
387	362
387	380
387	382
387	384
387	387
