#Receptor_resid	Ligand_resid
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
95	31
95	32
95	34
95	41
95	42
95	43
95	48
95	51
95	86
95	89
95	90
95	91
95	92
95	95
