#Receptor_resid	Ligand_resid
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
796	231
796	233
796	252
796	253
796	259
796	302
796	305
796	306
796	701
796	727
796	728
796	730
796	732
796	768
796	791
796	792
796	793
796	794
796	796
