#Receptor_resid	Ligand_resid
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
221	64
221	96
221	99
221	100
221	101
221	102
221	104
221	107
221	125
221	126
221	127
221	128
221	155
221	189
221	209
221	217
221	218
221	219
221	220
221	221
