#Receptor_resid	Ligand_resid
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
125	23
125	24
125	26
125	27
125	28
125	61
125	65
125	76
125	79
125	81
125	82
125	83
125	86
125	117
125	118
125	119
125	122
125	125
