#Receptor_resid	Ligand_resid
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
83	50
83	51
83	52
83	53
83	54
83	55
83	57
83	62
83	64
83	66
83	67
83	68
83	69
83	70
83	71
83	73
83	74
83	77
83	80
83	81
83	83
83	19
83	26
83	45
83	47
83	48
83	49
