#Receptor_resid	Ligand_resid
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
258	0
258	1
258	2
258	3
258	4
258	10
258	14
258	17
258	20
258	21
258	24
258	25
258	28
258	29
258	32
258	33
258	109
258	113
258	117
258	253
258	258
