#Receptor_resid	Ligand_resid
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
1084	99
1084	100
1084	122
1084	520
1084	521
1084	582
1084	583
1084	584
1084	585
1084	614
1084	1021
1084	1082
1084	1083
1084	1084
