#Receptor_resid	Ligand_resid
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
613	54
613	56
613	87
613	89
613	91
613	97
613	99
613	525
613	526
613	529
613	530
613	533
613	570
613	571
613	574
613	612
613	613
