#Receptor_resid	Ligand_resid
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
106	42
106	43
106	44
106	45
106	46
106	47
106	88
106	90
106	91
106	96
106	97
106	105
106	106
