#Receptor_resid	Ligand_resid
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
70	47
70	50
70	52
70	53
70	54
70	55
70	56
70	57
70	65
70	66
70	69
70	70
