#Receptor_resid	Ligand_resid
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
135	93
135	94
135	95
135	111
135	114
135	117
135	121
135	122
135	125
135	127
135	130
135	131
135	132
135	133
135	134
135	135
