#Receptor_resid	Ligand_resid
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
717	338
717	341
717	342
717	654
717	656
717	658
717	659
717	662
717	681
717	682
717	683
717	685
717	687
717	690
717	694
717	716
717	717
