#Receptor_resid	Ligand_resid
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
332	52
332	56
332	57
332	61
332	102
332	103
332	135
332	136
332	137
332	138
332	139
332	140
332	151
332	152
332	222
332	224
332	291
332	331
332	332
