#Receptor_resid	Ligand_resid
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
216	87
216	90
216	91
216	95
216	110
216	111
216	112
216	114
216	156
216	157
216	158
216	162
216	189
216	190
216	191
216	210
216	212
216	213
216	214
216	215
216	216
