#Receptor_resid	Ligand_resid
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
602	32
602	49
602	50
602	53
602	91
602	92
602	93
602	531
602	532
602	552
602	553
602	554
602	599
602	600
602	601
602	602
