#Receptor_resid	Ligand_resid
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
289	1
289	2
289	9
289	10
289	11
289	12
289	13
289	14
289	15
289	16
289	17
289	20
289	156
289	157
289	162
289	166
289	167
289	170
289	173
289	270
289	271
289	272
289	273
289	274
289	275
289	283
289	284
289	285
289	286
289	287
289	288
289	289
