#Receptor_resid	Ligand_resid
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
601	28
601	30
601	31
601	32
601	50
601	91
601	92
601	531
601	533
601	550
601	552
601	555
601	557
601	600
601	601
