#Receptor_resid	Ligand_resid
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
950	749
950	785
950	787
950	789
950	790
950	791
950	792
950	799
950	833
950	894
950	902
950	903
950	906
950	907
950	910
950	931
950	935
950	938
950	942
950	944
950	949
950	950
