#Receptor_resid	Ligand_resid
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
224	33
224	34
224	35
224	37
224	41
224	213
224	220
224	222
224	223
224	224
