#Receptor_resid	Ligand_resid
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
336	129
336	131
336	132
336	137
336	167
336	171
336	172
336	173
336	174
336	175
336	176
336	207
336	210
336	213
336	217
336	218
336	245
336	248
336	249
336	252
336	256
336	290
336	291
336	332
336	333
336	335
336	336
