#Receptor_resid	Ligand_resid
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
1224	196
1224	197
1224	199
1224	232
1224	1120
1224	1123
1224	1165
1224	1166
1224	1167
1224	1169
1224	1170
1224	1172
1224	1183
1224	1186
1224	1188
1224	1221
1224	1223
1224	1224
