#Receptor_resid	Ligand_resid
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
1639	1414
1639	1415
1639	1427
1639	1430
1639	1431
1639	1432
1639	1434
1639	1437
1639	1463
1639	1508
1639	1639
1639	1359
1639	1362
1639	1402
1639	1404
1639	1405
1639	1407
1639	1408
1639	1411
1639	1412
