#Receptor_resid	Ligand_resid
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	80
210	81
210	82
210	152
210	157
210	158
210	173
210	206
210	210
