#Receptor_resid	Ligand_resid
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
77	41
77	42
77	43
77	45
77	47
77	58
77	60
77	62
77	69
77	70
77	73
77	77
