#Receptor_resid	Ligand_resid
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
161	78
161	79
161	80
161	81
161	82
161	105
161	141
161	142
161	143
161	144
161	160
161	161
