#Receptor_resid	Ligand_resid
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
255	27
255	165
255	166
255	208
255	213
255	221
255	230
255	231
255	234
255	235
255	236
255	254
255	255
