#Receptor_resid	Ligand_resid
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
124	61
124	62
124	63
124	64
124	65
124	93
124	94
124	98
124	116
124	117
124	120
124	121
124	124
