#Receptor_resid	Ligand_resid
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
280	71
280	72
280	73
280	120
280	121
280	122
280	123
280	124
280	125
280	127
280	155
280	162
280	163
280	164
280	196
280	197
280	198
280	199
280	246
280	247
280	248
280	249
280	270
280	279
280	280
