#Receptor_resid	Ligand_resid
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
841	524
841	525
841	527
841	669
841	702
841	703
841	706
841	707
841	711
841	828
841	837
841	838
841	841
