#Receptor_resid	Ligand_resid
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
493	379
493	382
493	451
493	452
493	453
493	486
493	487
493	488
493	489
493	490
493	492
493	493
