#Receptor_resid	Ligand_resid
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
278	129
278	132
278	133
278	139
278	143
278	184
278	247
278	262
278	266
278	269
278	270
278	272
278	273
278	278
