#Receptor_resid	Ligand_resid
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
279	71
279	72
279	127
279	162
279	163
279	164
279	196
279	197
279	198
279	239
279	244
279	245
279	246
279	247
279	248
279	249
279	270
279	279
