#Receptor_resid	Ligand_resid
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
357	24
357	27
357	28
357	31
357	34
357	37
357	38
357	41
357	42
357	45
357	82
357	83
357	325
357	329
357	330
357	353
357	354
357	355
357	357
