#Receptor_resid	Ligand_resid
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
475	198
475	201
475	204
475	208
475	211
475	277
475	292
475	295
475	297
475	298
475	299
475	300
475	307
475	326
475	330
475	332
475	339
475	341
475	425
475	430
475	435
475	475
