#Receptor_resid	Ligand_resid
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
377	371
377	373
377	374
377	375
377	376
377	377
377	170
377	171
377	172
377	186
377	187
377	188
377	190
377	191
377	290
377	291
377	292
377	293
377	294
377	295
377	299
377	301
377	313
377	315
377	318
377	320
377	354
