#Receptor_resid	Ligand_resid
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
631	167
631	168
631	169
631	170
631	171
631	174
631	178
631	595
631	624
631	627
631	628
631	631
