#Receptor_resid	Ligand_resid
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
373	113
373	133
373	166
373	167
373	169
373	170
373	172
373	173
373	284
373	285
373	286
373	288
373	290
373	355
373	361
373	371
373	372
373	373
